accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
3.191948967236522677e-06,7.830132615710404817e-04,9.793588661728378497e+00
5.348653339636255114e-06,7.838147026195882439e-04,9.793587823345704990e+00
4.038940865530605892e-06,7.792738614124672131e-04,9.793583410282096224e+00
-1.028001229893725908e-06,7.859848131233364461e-04,9.793595771746709033e+00
2.963525569291734646e-06,7.781642379649178704e-04,9.793582629989073141e+00
4.919800650603764579e-06,7.803609572102543270e-04,9.793596355101199080e+00
3.661307319247360272e-06,7.804001808252461567e-04,9.793591809106766632e+00
7.644684030882744844e-07,7.844750127605544130e-04,9.793590390072019147e+00
1.967417287891704753e-06,7.717713400892564331e-04,9.793590832547552694e+00
2.582176068462858542e-07,7.770266512057462252e-04,9.793583592242711688e+00
-6.820340228547330216e-06,7.877833824769563727e-04,9.793596758992380913e+00
-5.326234630414639121e-06,7.786716866608345148e-04,9.793586377971502444e+00
1.872914841742850692e-06,7.848267013486270394e-04,9.793586951206380675e+00
3.773623041135514477e-06,7.851955772797937711e-04,9.793593491715851584e+00
2.089781344637079388e-07,7.828776726882735390e-04,9.793583753253210844e+00
