gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.199980698561369152e+01,1.200016562570702092e+02,6.993187324487741385e+00,-7.728014896781353116e+00,6.359156287255054885e+00,2.942232724364055724e-02
3.199977994477433185e+01,1.200015206092543565e+02,5.825811949638496579e+00,-7.858202224549370563e+00,6.207310294791367866e+00,3.754740976599326568e-02
3.199971835888879568e+01,1.200016478638032424e+02,1.215676327392285394e+01,-7.924523227445205542e+00,6.219475251777588198e+00,-9.155852389948335168e-02
3.199972813749822365e+01,1.200017008808946883e+02,7.441511057049852162e+00,-7.964800736901976208e+00,5.992894199060108562e+00,-2.764969771287914546e-02
3.199972202388872233e+01,1.200016479955510107e+02,5.625999416005616816e+00,-8.091146888145001270e+00,5.823920047938146993e+00,-1.731128867524276901e-02
3.199969678106708315e+01,1.200016876249478202e+02,2.662888560804291593e+00,-8.158656739135167868e+00,5.717127945950729817e+00,3.276747420906158531e-02
3.199979456445392856e+01,1.200015748657269370e+02,-6.357765008541243823e+00,-8.271475246588465779e+00,5.593895604151771117e+00,-4.009502051686019558e-02
3.199972190133737726e+01,1.200016502155245348e+02,1.298244317076687260e+01,-8.381029313476016540e+00,5.437533149218180206e+00,8.302608113605286499e-02
3.199976257373954880e+01,1.200015689173541915e+02,4.038495098250079351e+00,-8.539656790995380220e+00,5.290573640797440191e+00,-4.359533559297702754e-02
3.199969004054302957e+01,1.200016508847106422e+02,-9.925422886272516010e+00,-8.460192835587687199e+00,5.266339885803220433e+00,-4.981229940795188493e-02
3.199978124174890226e+01,1.200016443463572102e+02,3.870615621499570835e+00,-8.617347574684398381e+00,5.096759193082163186e+00,5.877981716040647786e-02
3.199971276375687523e+01,1.200016380566187593e+02,-7.139423358220785332e+00,-8.670859219519201133e+00,5.022596601449595077e+00,-4.440257988425239805e-02
3.199968345503541300e+01,1.200016238477751358e+02,-6.504265191865772344e+00,-8.761803452197742814e+00,4.820687093159443215e+00,3.246648610460797085e-02
3.199970157507966917e+01,1.200016916904362461e+02,-1.146747959129028827e+00,-8.839409634294373319e+00,4.674212971325459876e+00,1.375476846446552041e-02
3.199971451583176218e+01,1.200017204860159836e+02,1.858779525626866214e+00,-8.939824415072241237e+00,4.429802996686148298e+00,-4.312556819625182336e-03
3.199971894417214102e+01,1.200017218423715377e+02,-2.575500817949722965e+00,-9.006276408858512994e+00,4.320303866374293200e+00,-4.881846165438655412e-03
3.199959989744477795e+01,1.200016065909802734e+02,6.652053416478321823e-01,-9.055764681146483142e+00,4.327108350987016294e+00,-6.261438058672463836e-02
3.199974746352155819e+01,1.200017348430151287e+02,-1.522657996667349067e+01,-9.200484606772688423e+00,4.250960842491416258e+00,-6.042947699560696773e-02
3.199964862650596942e+01,1.200017193907364543e+02,-3.327273007828621121e-01,-9.168682532509031091e+00,3.982874838648774229e+00,-4.136815613644733401e-03
3.199965276786076274e+01,1.200016162491105263e+02,1.412996437949441741e+01,-9.236196944641843487e+00,3.766777008654996095e+00,-2.185459945954407179e-02
3.199963933885593192e+01,1.200017176381805513e+02,-4.265557179977590846e-02,-9.366275156937932778e+00,3.686170132284277923e+00,4.569923194673845834e-02
3.199956883999896107e+01,1.200016453530130605e+02,-3.363524614774809240e+00,-9.459194415665432842e+00,3.569073611720303685e+00,1.711179474426585342e-02
3.199959691315469712e+01,1.200016834391395690e+02,1.362127332450369011e+01,-9.441002191717942083e+00,3.442882442356153483e+00,2.803796082222388686e-02
3.199958715792989139e+01,1.200017558213111641e+02,-5.787181503447969000e+00,-9.495138749270450873e+00,3.206943015761473337e+00,-1.285444474949561794e-02
3.199963952264642231e+01,1.200017056592937905e+02,-5.554958871375457186e+00,-9.478217171948809749e+00,3.041700770765489725e+00,-1.767788919199551612e-01
